"","from","to","year"
"1049",505,804,2001
"1050",506,569,2001
"1051",507,509,2001
"1052",507,734,2001
"1053",508,742,2001
"1054",509,734,2001
"1055",510,686,2001
"1056",511,615,2001
"1057",512,852,2001
"1058",513,571,2001
"1059",513,853,2001
"1060",514,720,2001
"1061",515,690,2001
"1062",516,536,2001
"1063",516,565,2001
"1064",516,818,2001
"1065",517,647,2001
"1066",518,808,2001
"1067",519,527,2001
"1068",519,533,2001
"1069",519,717,2001
"1070",519,828,2001
"1071",520,674,2001
"1072",521,568,2001
"1073",521,580,2001
"1074",521,591,2001
"1075",521,828,2001
"1076",522,603,2001
"1077",523,769,2001
"1078",524,584,2001
"1079",524,682,2001
"1080",525,839,2001
"1081",526,678,2001
"1082",527,828,2001
"1083",528,560,2001
"1084",528,788,2001
"1085",529,854,2001
"1086",530,796,2001
"1087",531,715,2001
"1088",532,538,2001
"1089",532,855,2001
"1090",533,717,2001
"1091",534,656,2001
"1092",535,568,2001
"1093",535,580,2001
"1094",536,565,2001
"1095",536,818,2001
"1096",537,552,2001
"1097",537,785,2001
"1098",538,856,2001
"1099",539,622,2001
"1100",540,857,2001
"1101",540,858,2001
"1102",541,835,2001
"1103",542,560,2001
"1104",542,826,2001
"1105",543,667,2001
"1106",543,859,2001
"1107",544,551,2001
"1108",544,836,2001
"1109",544,585,2001
"1110",544,860,2001
"1111",545,861,2001
"1112",546,691,2001
"1113",547,751,2001
"1114",548,575,2001
"1115",548,706,2001
"1116",549,795,2001
"1117",550,862,2001
"1118",551,585,2001
"1119",551,860,2001
"1120",552,579,2001
"1121",552,785,2001
"1122",552,804,2001
"1123",553,845,2001
"1124",554,577,2001
"1125",555,700,2001
"1126",556,786,2001
"1127",557,863,2001
"1128",558,577,2001
"1129",558,829,2001
"1130",559,728,2001
"1131",560,826,2001
"1132",560,788,2001
"1133",561,620,2001
"1134",562,864,2001
"1135",563,846,2001
"1136",564,776,2001
"1137",565,818,2001
"1138",566,865,2001
"1139",567,571,2001
"1140",568,580,2001
"1141",568,591,2001
"1142",568,828,2001
"1143",569,649,2001
"1144",570,626,2001
"1145",571,853,2001
"1146",572,588,2001
"1147",573,821,2001
"1148",574,577,2001
"1149",575,706,2001
"1150",576,808,2001
"1151",577,829,2001
"1152",577,748,2001
"1153",578,797,2001
"1154",579,804,2001
"1155",580,591,2001
"1156",580,828,2001
"1157",581,814,2001
"1158",582,866,2001
"1159",583,867,2001
"1160",584,682,2001
"1161",585,860,2001
"1162",586,590,2001
"1163",586,752,2001
"1164",587,630,2001
"1165",588,823,2001
"1166",589,592,2001
"1167",589,740,2001
"1168",590,752,2001
"1169",591,828,2001
"1170",592,740,2001
"1171",593,868,2001
"1172",594,639,2001
"1173",1,688,2002
"1174",1,898,2002
"1175",2,568,2002
"1176",2,899,2002
"1177",3,900,2002
"1178",3,901,2002
"1179",4,902,2002
"1180",5,250,2002
"1181",5,526,2002
"1182",5,903,2002
"1183",6,533,2002
"1184",6,904,2002
"1185",7,905,2002
"1186",8,262,2002
"1187",8,752,2002
"1188",9,429,2002
"1189",9,479,2002
"1190",9,906,2002
"1191",10,661,2002
"1192",10,888,2002
"1193",10,907,2002
"1194",11,101,2002
"1195",11,908,2002
"1196",12,326,2002
"1197",12,581,2002
"1198",13,273,2002
"1199",13,410,2002
"1200",13,611,2002
"1201",14,909,2002
"1202",15,19,2002
"1203",15,198,2002
"1204",15,910,2002
"1205",16,822,2002
"1206",17,692,2002
"1207",18,911,2002
"1208",19,198,2002
"1209",19,910,2002
"1210",19,464,2002
"1211",19,912,2002
"1212",20,46,2002
"1213",20,610,2002
"1214",20,660,2002
"1215",20,745,2002
"1216",20,795,2002
"1217",20,913,2002
"1218",21,914,2002
"1219",22,328,2002
"1220",22,915,2002
"1221",23,445,2002
"1222",23,916,2002
"1223",24,48,2002
"1224",24,535,2002
"1225",24,858,2002
"1226",24,917,2002
"1227",25,918,2002
"1228",26,179,2002
"1229",26,395,2002
"1230",26,728,2002
"1231",26,735,2002
"1232",26,813,2002
"1233",26,859,2002
"1234",26,919,2002
"1235",27,470,2002
"1236",27,920,2002
"1237",28,805,2002
"1238",29,921,2002
"1239",30,542,2002
"1240",30,922,2002
"1241",31,923,2002
"1242",32,331,2002
"1243",32,924,2002
"1244",33,146,2002
"1245",33,698,2002
"1246",34,690,2002
"1247",34,703,2002
"1248",34,810,2002
"1249",34,925,2002
"1250",35,839,2002
"1251",35,926,2002
"1252",36,246,2002
"1253",36,431,2002
"1254",37,845,2002
"1255",37,887,2002
"1256",38,540,2002
"1257",38,761,2002
"1258",39,230,2002
"1259",39,927,2002
"1260",40,928,2002
"1261",41,676,2002
"1262",41,929,2002
"1263",42,589,2002
"1264",42,635,2002
"1265",42,768,2002
"1266",42,930,2002
"1267",43,561,2002
"1268",43,931,2002
"1269",44,932,2002
"1270",44,649,2002
"1271",44,933,2002
"1272",45,582,2002
"1273",45,934,2002
"1274",46,567,2002
"1275",46,610,2002
"1276",46,660,2002
"1277",46,745,2002
"1278",46,795,2002
"1279",46,913,2002
"1280",47,160,2002
"1281",47,184,2002
"1282",47,935,2002
"1283",48,70,2002
"1284",48,535,2002
"1285",48,587,2002
"1286",48,858,2002
"1287",48,917,2002
"1288",49,554,2002
"1289",49,747,2002
"1290",49,765,2002
"1291",49,936,2002
"1292",50,740,2002
"1293",51,937,2002
"1294",52,268,2002
"1295",52,433,2002
"1296",53,142,2002
"1297",53,249,2002
"1298",53,279,2002
"1299",53,428,2002
"1300",53,938,2002
"1301",54,939,2002
"1302",55,805,2002
"1303",56,940,2002
"1304",57,941,2002
"1305",58,942,2002
"1306",59,572,2002
"1307",59,943,2002
"1308",60,944,2002
"1309",61,94,2002
"1310",61,181,2002
"1311",61,342,2002
"1312",61,870,2002
"1313",61,945,2002
"1314",62,63,2002
"1315",62,305,2002
"1316",62,946,2002
"1317",63,305,2002
"1318",63,946,2002
"1319",64,574,2002
"1320",64,644,2002
"1321",64,947,2002
"1322",65,756,2002
