"","label","CM","measure","pct"
"285","S Creem-Regehr","degree",10,0.974812196199735
"286","Y Lin","degree",10,0.974723817940787
"287","M Tambe","degree",10,0.974635439681838
"288","J Suchow","degree",10,0.97454706142289
"289","J Gratch","degree",10,0.974458683163942
"290","A Nazareth","degree",10,0.974370304904993
"291","J Culbertson","degree",10,0.974281926646045
"292","S Rosa","degree",10,0.974193548387097
"293","M Botvinick","degree",10,0.974105170128148
"294","J Allan","degree",10,0.9740167918692
"295","M Alibali","degree",10,0.973928413610252
"296","K Samejima","degree",10,0.973840035351304
"297","W Fu","degree",9,0.973751657092355
"298","M Kim","degree",9,0.973663278833407
"299","A Sloutsky","degree",9,0.973574900574459
"300","J Trueswell","degree",9,0.97348652231551
"301","K Kusumi","degree",9,0.973398144056562
"302","C Schunn","degree",9,0.973309765797614
"303","K Andrews","degree",9,0.973221387538665
"304","J Wiley","degree",9,0.973133009279717
"305","T Tenenbaum","degree",9,0.973044631020769
"306","T Shultz","degree",9,0.972956252761821
"307","D Noelle","degree",9,0.972867874502872
"308","T Wang","degree",9,0.972779496243924
"309","T Yamauchi","degree",9,0.972691117984976
"310","J Lee","degree",9,0.972602739726027
